,date,time_str,time_passed,event,elev_spec,elev_calc,lat,lon,dist
36,2024-03-24 12:13:00,12:13,29.0,白髪避難小屋,1670,1668.1916300673038,33.822014108789716,134.0022328483422,998.8980079524387
37,2024-03-24 15:50:00,15:50,217.0,サイトワーク開始,1670,1662.0735715785995,33.82203744877779,134.0015605754817,62.29083181608176
38,2024-03-24 17:15:00,17:15,85.0,いただきます,1670,1662.0735715785995,33.82203744877779,134.0015605754817,0.0
39,2024-03-24 18:11:00,18:11,56.0,ごちそうさま,1670,1662.0735715785995,33.82203744877779,134.0015605754817,0.0
40,2024-03-24 18:31:00,18:31,20.0,ミーティング開始,1670,1662.0735715785995,33.82203744877779,134.0015605754817,0.0
41,2024-03-25 03:30:00,03:30,539.0,起床,1670,1667.5419921875,33.82215330846032,134.00148876955174,14.468586114630774
42,2024-03-25 04:10:00,04:10,40.0,いただきます,1670,1667.5419921875,33.82215330846032,134.00148876955174,0.0
43,2024-03-25 04:30:00,04:30,20.0,ごちそうさま,1670,1667.5419921875,33.82215330846032,134.00148876955174,0.0
44,2024-03-25 05:04:00,05:04,34.0,集合,1670,1664.6658559469506,33.82197058156497,134.00150861912496,20.351050829238453
45,2024-03-25 05:09:00,05:09,5.0,出発,1670,1668.7299378560856,33.821673453095684,134.00070386672982,81.46588393114497
46,2024-03-25 05:09:00,05:09,0.0,分岐,1680,1668.7299378560856,33.821673453095684,134.00070386672982,0.0
47,2024-03-25 05:18:00,05:18,9.0,分岐,1730,1728.6477890731767,33.82119567454915,133.99796053638957,259.4412299917233
48,2024-03-25 05:21:00,05:21,3.0,レスト1,1730,1732.1499767852947,33.821174639491524,133.99774365276053,20.213741277560082
49,2024-03-25 05:51:00,05:51,30.0,分岐,1630,1629.0420107711107,33.82578086746679,133.99262346757078,696.9344323258108
50,2024-03-25 05:52:00,05:52~05:57,1.0,レスト2,1630,1629.0420107711107,33.82578086746679,133.99262346757078,0.0
51,2024-03-25 06:09:00,06:09,12.0,カヤハゲ,1720,1712.7180559430271,33.827804894991516,133.99054128336746,295.89710703016
52,2024-03-25 06:09:00,06:09,0.0,カヤハゲ,1720,1712.7180559430271,33.827804894991516,133.99054128336746,0.0
53,2024-03-25 07:18:00,07:18,69.0,三嶺,1893.6,1886.8349682772532,33.83928655569224,133.98763232123343,1301.693335006821
54,2024-03-25 07:19:00,07:19~07:25,1.0,レスト4,1893.6,1894.608135420829,33.83945475058687,133.9877456493546,21.402769095374772
55,2024-03-25 07:30:00,07:30,5.0,分岐,1870,1865.3154263002798,33.83966814791352,133.98869833419124,91.30032733655295
56,2024-03-25 07:33:00,07:33,3.0,分岐,1850,1865.70111890696,33.83989203719932,133.99019504576097,140.74071645306907
57,2024-03-25 07:37:00,07:37,4.0,分岐,1840,1845.5693585025147,33.840209831351686,133.99091044367117,75.0134964264115
58,2024-03-25 07:39:00,07:39,2.0,三嶺ヒュッテ,1841,1848.194126430899,33.84033352782985,133.9913235144392,40.62006837339641
59,2024-03-25 07:39:00,07:39~07:57,0.0,衛生1,1841,1848.194126430899,33.84033352782985,133.9913235144392,0.0
60,2024-03-25 08:52:00,08:52,55.0,分岐,1517,1521.9564123088494,33.83869972662182,134.00459108843276,1241.3216301766677
61,2024-03-25 09:00:00,09:00~09:18,8.0,衛生2,1420,1426.5849248832092,33.840050524873895,134.00844574459302,386.96418812401186
62,2024-03-25 09:48:00,09:48~09:55,30.0,レスト5,1110,1119.6112516950816,33.84801454375162,134.0206706401038,1435.4523828306246
63,2024-03-25 10:14:00,10:14,19.0,名頃登山口,910,930.0292643010616,33.85159998684119,134.02352856114274,477.61739862575365
